City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Matara,LK,83.73,Clouds,5.9485,80.5353,Amaloh Boutique Resort
4,Kapaa,US,87.78,Clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
5,Komsomolskiy,UZ,80.02,Clouds,40.4272,71.7189,Ikathouse
9,Worland,US,78.6,Clouds,44.0169,-107.9554,Town House Motor Inn
10,Waddan,LY,81.93,Clear,29.1614,16.139,محل الشريف محمد العايب
24,Muslyumovo,RU,76.08,Clouds,55.3033,53.1947,"""Kunakkhana"""
25,Tarakan,ID,85.5,Clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
28,Alofi,NU,75.09,Rain,-19.0595,-169.9187,Taloa Heights
32,Saint George,US,83.62,Clear,37.1041,-113.5841,Best Western Plus Abbey Inn
33,Atuona,PF,77.2,Clouds,-9.8,-139.0333,Villa Enata
37,Cockburn Town,TC,82.31,Clear,21.4612,-71.1419,Osprey Beach Hotel
39,Ucluelet,CA,80.04,Clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
42,Vaini,TO,77.16,Clouds,-21.2,-175.2,Keleti Beach Resort
45,Pemangkat,ID,86.81,Clouds,1.1667,108.9667,Ramah Kost KITA
46,Tangjiazhuang,CN,82.53,Clear,39.7333,118.45,Peace Hotel
48,Victoria,HK,90.03,Clouds,22.2855,114.1577,Mini Hotel Central
50,Faanui,PF,77.13,Clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
52,Locri,IT,85.75,Clear,38.2414,16.2623,Grand Hotel President
65,Itarema,BR,77.68,Clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
70,Airai,TL,77.63,Clouds,-8.9266,125.4092,Juvinal Martin
71,Lorengau,PG,85.75,Clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
73,Merke,KZ,80.2,Clouds,42.8728,73.1786,Gostinitsa Merki
82,Banjar,ID,82.26,Clouds,-8.19,114.9675,The Hamsa Resort
84,Rybachiy,RU,78.66,Clear,48.7073,44.7449,Kilyakovskie baths
87,Aksay,RU,81.25,Clouds,47.26,39.87,Chernaya Zhemchuzhina
