City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Matara,LK,5.9485,80.5353,83.73,70,70,13.0,Clouds
1,Albany,US,42.6001,-73.9662,60.03,83,25,2.3,Clouds
2,Carnarvon,AU,-24.8667,113.6333,66.27,54,90,5.75,Clouds
3,Dikson,RU,73.5069,80.5464,40.96,100,100,11.34,Clouds
4,Kapaa,US,22.0752,-159.319,87.78,69,20,4.0,Clouds
5,Komsomolskiy,UZ,40.4272,71.7189,80.02,44,14,6.91,Clouds
6,Maldonado,UY,-34.6667,-54.9167,46.22,82,7,4.34,Clear
7,Rikitea,PF,-23.1203,-134.9692,70.12,73,26,16.96,Rain
8,Inhambane,MZ,-23.865,35.3833,61.43,83,0,3.71,Clear
9,Worland,US,44.0169,-107.9554,78.6,49,40,8.05,Clouds
10,Waddan,LY,29.1614,16.139,81.93,21,0,3.44,Clear
11,Port Alfred,ZA,-33.5906,26.891,63.88,32,65,8.32,Clouds
12,Cherskiy,RU,68.75,161.3,48.43,66,100,12.64,Clouds
13,Kedgwick,CA,47.6446,-67.3434,48.02,85,12,4.18,Clouds
14,Bluff,NZ,-46.6,168.3333,48.79,90,96,1.9,Clouds
15,Khatanga,RU,71.9667,102.5,71.71,52,100,4.14,Clouds
16,Ushuaia,AR,-54.8,-68.3,44.26,57,40,11.5,Rain
17,Leningradskiy,RU,69.3833,178.4167,35.73,86,99,19.82,Clouds
18,Chokurdakh,RU,70.6333,147.9167,49.77,53,93,14.5,Clouds
19,Antofagasta,CL,-23.65,-70.4,56.48,76,53,4.94,Clouds
20,Busselton,AU,-33.65,115.3333,49.05,62,88,28.48,Clouds
21,Cape Town,ZA,-33.9258,18.4232,54.88,90,75,3.44,Mist
22,Pevek,RU,69.7008,170.3133,36.36,77,98,22.48,Clouds
23,Severo-Kurilsk,RU,50.6789,156.125,55.63,89,95,14.99,Clouds
24,Muslyumovo,RU,55.3033,53.1947,76.08,53,17,11.95,Clouds
25,Tarakan,ID,3.3,117.6333,85.5,70,20,5.75,Clouds
26,Pangnirtung,CA,66.1451,-65.7125,46.98,76,60,1.79,Clouds
27,Punta Arenas,CL,-53.15,-70.9167,42.91,70,0,19.57,Clear
28,Alofi,NU,-19.0595,-169.9187,75.09,94,99,21.85,Rain
29,Buritis,BR,-15.6178,-46.4233,65.64,68,48,6.49,Clouds
30,Nikolskoye,RU,59.7035,30.7861,64.78,86,84,5.53,Rain
31,Tignere,CM,7.3667,12.65,63.57,97,100,1.81,Rain
32,Saint George,US,37.1041,-113.5841,83.62,45,1,4.0,Clear
33,Atuona,PF,-9.8,-139.0333,77.2,67,80,14.29,Clouds
34,Soller,ES,39.7662,2.7152,68.92,86,99,1.01,Clouds
35,Guadalajara,MX,20.6667,-103.3333,63.66,91,86,0.45,Clouds
36,Los Llanos De Aridane,ES,28.6585,-17.9182,70.12,69,20,19.57,Clouds
37,Cockburn Town,TC,21.4612,-71.1419,82.31,79,10,20.49,Clear
38,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,67.53,29,54,9.22,Clouds
39,Ucluelet,CA,48.9329,-125.5528,80.04,87,93,1.99,Clouds
40,Mataura,NZ,-46.1927,168.8643,48.47,99,100,0.22,Clouds
41,Tasiilaq,GL,65.6145,-37.6368,44.76,82,38,4.27,Clouds
42,Vaini,TO,-21.2,-175.2,77.16,69,20,25.32,Clouds
43,Flinders,AU,-34.5833,150.8552,72.21,82,61,12.35,Rain
44,Tombouctou,ML,20.0,-3.0,93.42,35,58,13.67,Clouds
45,Pemangkat,ID,1.1667,108.9667,86.81,66,22,10.11,Clouds
46,Tangjiazhuang,CN,39.7333,118.45,82.53,63,3,6.6,Clear
47,Torbay,CA,47.6666,-52.7314,61.68,84,75,20.71,Clouds
48,Victoria,HK,22.2855,114.1577,90.03,81,100,7.0,Clouds
49,Nemuro,JP,43.3236,145.575,72.03,99,100,14.36,Clouds
50,Faanui,PF,-16.4833,-151.75,77.13,67,68,15.21,Clouds
51,Adre,TD,13.4667,22.2,71.42,81,100,3.15,Clouds
52,Locri,IT,38.2414,16.2623,85.75,39,0,12.41,Clear
53,Nanortalik,GL,60.1432,-45.2371,49.28,78,100,17.47,Clouds
54,Kabarnet,KE,0.4919,35.743,58.01,78,100,5.08,Clouds
55,New Norfolk,AU,-42.7826,147.0587,50.76,47,34,9.13,Rain
56,Constitucion,CL,-35.3333,-72.4167,50.86,71,0,5.5,Clear
57,Cap Malheureux,MU,-19.9842,57.6142,72.46,71,2,11.01,Clear
58,Saint-Francois,FR,46.4154,3.9054,58.17,94,0,2.3,Clear
59,Bambous Virieux,MU,-20.3428,57.7575,72.21,78,40,16.11,Rain
60,Jamestown,US,42.097,-79.2353,63.72,88,1,1.99,Clear
61,Salinas,US,36.6777,-121.6555,69.62,78,90,9.22,Clouds
62,Puerto Carreno,CO,6.189,-67.4859,74.35,90,100,4.25,Clouds
63,Lagoa,PT,39.05,-27.9833,70.11,89,91,13.11,Clouds
64,Grindavik,IS,63.8424,-22.4338,55.35,100,90,5.75,Clouds
65,Itarema,BR,-2.9248,-39.9167,77.68,80,96,13.56,Clouds
66,Taoudenni,ML,22.6783,-3.9836,96.06,23,5,9.17,Clear
67,Pesochnoye,RU,58.006,39.1772,62.24,79,41,6.73,Clouds
68,Grand Gaube,MU,-20.0064,57.6608,72.37,71,2,11.01,Clear
69,Puerto Ayora,EC,-0.7393,-90.3518,71.55,92,5,7.0,Clear
70,Airai,TL,-8.9266,125.4092,77.63,35,53,4.56,Clouds
71,Lorengau,PG,-2.0226,147.2712,85.75,67,17,8.12,Clouds
72,Mahebourg,MU,-20.4081,57.7,72.25,78,40,16.11,Rain
73,Merke,KZ,42.8728,73.1786,80.2,23,100,5.93,Clouds
74,Batemans Bay,AU,-35.7167,150.1833,62.98,85,100,8.19,Rain
75,Hermanus,ZA,-34.4187,19.2345,55.8,87,62,9.04,Clouds
76,Port Hardy,CA,50.6996,-127.4199,60.98,82,1,10.36,Clear
77,Esperance,AU,-33.8667,121.9,53.44,80,97,20.4,Rain
78,Guerrero Negro,MX,27.9769,-114.0611,72.61,80,7,14.32,Clear
79,Hasaki,JP,35.7333,140.8333,95.29,75,10,10.74,Clear
80,Tuktoyaktuk,CA,69.4541,-133.0374,66.2,72,40,11.5,Clouds
81,East London,ZA,-33.0153,27.9116,67.14,20,0,9.22,Clear
82,Banjar,ID,-8.19,114.9675,82.26,52,45,2.1,Clouds
83,Barrow,US,71.2906,-156.7887,51.82,94,90,18.41,Rain
84,Rybachiy,RU,48.7073,44.7449,78.66,23,0,3.56,Clear
85,Qaanaaq,GL,77.484,-69.3632,39.76,93,98,0.76,Clouds
86,Pinega,RU,64.7001,43.3936,58.91,85,87,2.77,Clouds
87,Aksay,RU,47.26,39.87,81.25,47,34,5.01,Clouds
88,Angoche,MZ,-16.2325,39.9086,74.05,68,73,13.96,Clouds
