City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Butaritari,KI,2021-07-25 01:51:22,3.0707,172.7902,83.95,72,13,12.24
1,Tiksi,RU,2021-07-25 01:51:44,71.6872,128.8694,44.73,76,87,5.26
2,Port Alfred,ZA,2021-07-25 01:55:41,-33.5906,26.891,53.44,47,1,10.29
3,Rikitea,PF,2021-07-25 01:55:41,-23.1203,-134.9692,69.37,55,0,1.03
4,Mataura,NZ,2021-07-25 01:55:42,-46.1927,168.8643,50.49,78,92,4.32
5,Raudeberg,NO,2021-07-25 01:55:42,61.9875,5.1352,59.2,90,19,5.88
6,Puerto Ayora,EC,2021-07-25 01:53:26,-0.7393,-90.3518,72.55,84,6,7.0
7,Komsomolskiy,UZ,2021-07-25 01:54:09,40.4272,71.7189,83.12,32,0,2.3
8,Ushuaia,AR,2021-07-25 01:53:03,-54.8,-68.3,37.06,87,75,4.61
9,Severo-Kurilsk,RU,2021-07-25 01:55:43,50.6789,156.125,57.61,89,98,2.15
10,Barrow,US,2021-07-25 01:55:43,71.2906,-156.7887,37.17,96,100,4.9
11,Hermanus,ZA,2021-07-25 01:51:21,-34.4187,19.2345,50.9,51,100,5.37
12,New Norfolk,AU,2021-07-25 01:52:50,-42.7826,147.0587,46.92,62,72,11.86
13,Hilo,US,2021-07-25 01:51:30,19.7297,-155.09,80.33,85,90,8.05
14,Saint-Georges,GD,2021-07-25 01:53:47,12.0564,-61.7485,82.08,83,20,12.66
15,Willmar,US,2021-07-25 01:55:45,45.1219,-95.0433,80.28,52,1,4.61
16,Vangaindrano,MG,2021-07-25 01:55:46,-23.35,47.6,63.05,69,85,12.41
17,Bredasdorp,ZA,2021-07-25 01:55:46,-34.5322,20.0403,40.32,93,97,5.75
18,Busayra,JO,2021-07-25 01:55:46,30.7376,35.6078,66.15,61,0,0.94
19,Namibe,AO,2021-07-25 01:55:47,-15.1961,12.1522,67.37,55,0,6.69
20,Taoudenni,ML,2021-07-25 01:55:47,22.6783,-3.9836,96.24,8,5,12.17
21,Tuktoyaktuk,CA,2021-07-25 01:53:30,69.4541,-133.0374,64.4,45,75,17.27
22,Anchorage,US,2021-07-25 01:54:19,61.2181,-149.9003,64.33,83,75,1.99
23,Jamestown,US,2021-07-25 01:53:17,42.097,-79.2353,72.07,85,1,7.0
24,Axim,GH,2021-07-25 01:55:48,4.8699,-2.2405,74.21,82,2,7.67
